name,country_id
ARREDAMENTI 3G SAS,27
ARREDAMENTI ABBONDI,27
ARREDAMENTI GIANNI E GIANNA SRL,27
ARREDAMENTI LUCIANO,27
ARREDAMENTI TRE O,27
ARREDAMENTO LOMBARDO SPA,27
ARREDAMENTO LOMBARDO SPA (Aura Fabrics),27
ARREDO 3 SRL,27
ARREDO CLASSIC,27
ARREDO E SOFÀ,27
ARREDO3 CUCINE,27
ARREDOMENTO LOMBARDO SPA,27
ARREX-1 SPA,27
ARRITAL CUCINE SRL,27
ARSPA SNC,27
ART & DECOR CATALINA,45
ART @ CO,41
ART CERAM SRL,27
ART ET FLORITUDE,19
ART LEATHER s.r.l.,27
ART SOLDEVILLA,45
ART&DECOR,20
ARTALDA SL,45
ARTE ANTIQUA,27
ARTE BROTTO MOBILI SRL,27
ARTE CASA SRL,27
ARTE DI MURANO SRL,27
ARTE LUCE SRL,27
ARTE VENEZIANA SRL,27
ARTEARREDO SCHLERET SRL,27
ARTECNO SRL,27
ARTEINMOTION SNC,27
ARTELINEA SPA,27
ARTELORE HOME SL,45
ARTEMADER,45
ARTEMESA BV,3
ARTEMIDE SPA,27
ARTERIORS HOME,52
ARTESANIA JOALPA SL,45
ARTESANIA REDONDO,45
ARTESI SRL,27
ARTEX DI TREVISANI MARCO,27
ARTEX SRL,27
ARTEXA TAPPETTI,27
ARTI DI VETRO,27
ARTICOLI TECNICI INDUSTRIALIi,27
ARTIKALIA,45
ARTIPUN SA,45
ARTISTIC TILE INC,51
ARTURO ALVAREZ,45
ARVE STYLE,27
ARYECLA MUEBLES,45
AS FABRICS,45
ASAHI GLASSPLANT INC,28
ASCENSION LATORRE SL,45
ASHOME SRL,27
"ASIA COLLECTION CO., LTD",49
ASIAN LOGISTICS AGENCIES S.R.L.,27
ASIATIDES,19
ASIATIDES IMPORT SAS,19
ASNAGHI INTERIORS SRL,27
ASOLA S.A.S.,27
ASSO CUCINE,27
ASSOULINE,16
ASSOULINE PUBLISHING INC,16
ASTEP DESIGN,15
ASTER CUCINE SPA,27
ASTEROID PTY LTD,1
ASTOR POLTRONE DIVANI SRL,27
ASTRA CUCINE SRL,27
ASTRID AB,46
ASTRO LIGHTING LTD,16
ASTRO LOGHTING LTD,16
ATALA,20
ATC FURNITURE FURBISHINGS CORP,54
ATELIE EXPORT SL,45
ATELIER ARETI LTD,16
ATELIER DU PAVE,19
ATELIER FRANCAIS,27
ATELIER FRANCAIS (ROCHE BOBOIS TREVISO),27
ATELIER GARY LEE,52
ATELIER GREIFF,20
ATELIER MAUDUIT - BIARD SA,19
ATELIER SEDAP FRANCE,19
ATELIER STEFAN LEO,20
ATELIER WAHNKUNST,20
ATELIERS CSD,19
ATENA SAS,27
ATLANTIC TILES SL,45
ATLAS CONCORDE,27
ATLAS CONCORDE SPA,27
ATLAS FILTRI SRL,27
ATLAS STUDIO SRL,27
ATMOSFERA SRL,27
ATRIPUN SA,45
ATTIMEC ITALIA SRL,27
AUDEJAS AB,32
AUDIO INNOVATORS,52
AUKTIONHAUS VS GMBH,20
AUNDE France,19
AURA FABRICS SRL,27
AURELIEN SERRE,19
AURIGA,45
AURORA CUCINE SRL,27
AURORE HETIER,19
AUTHENTAGE LIGHTING,3
AVER METAIS,6
AVERSA ROBERTO,27
AVIEM,27
AVILA DOS,45
AVMAZZEGA,27
AVRETT INC,52
AXO LIGHT,27
AYA GROUP,8
AZNAR TEXTIL,45
AZUVI,45
Alser Teknik Seramik A.Ş (Protherm),50
B ARREDO SNC,27
B BELLE ITALIA,27
B&B GROUP,27
B&B ITALIA,27
B&T S.P.A,27
B.HOME INTERIORS S.r.l.,27
B.KOLOR MAKEUP & SKIN CARE SPA,27
B.LUX,45
BABALIO DANTE SNC,27
BACHER,20
BACKHAUSEN GMBH,2
BADARI LIGHTING SRL,27
BAFRA SL,45
BAGA,27
BAGGIO ARREDAMENTI SRL,27
BAGNO &ASSOCIATI,27
BAKALOWITS WORKSHOP,2
BAKER INTERIORS GROUP,52
BAKOKKO,27
BALDI SRL,27
BALERI ITALIA SRL,27
BALLABIO DANTE,27
BALLESTER MUEBLES,45
BAM.ART,27
BAMAR - MOBILI D'ARTE,27
BAMAX,27
BANANA STUDIO,45
BANCI FIRENZE SRL,27
BANDEX,1
BARBARA OSORIO,41
BARJ BUZZONI SRL,27
BARMANS LTD,16
BARNINI OSEO,27
BARONCELLI LONDON,16
BAROVIER & TOSO,27
BASALTE BVA,3
BASIC LINE By Luc Meganck,3
BASTEX SPA,27
BASTIAT,19
BATH &LIVING,36
BATH QUALITY,45
BATTISTELLA SPA,27
BAUFORMAT,20
BAUMAN DEKOR GMBH,2
BAXTER SRL,27
BAYKER ITALIA SPA,27
BBTEXTILES,36
BC BERTRAND,27
BD BARCELONA 1972 SL,45
BEBY ITALY SRL,27
BECARA,45
BECKERMANN KUCHEN,20
BECKMANN,20
BEDDING,27
BEDDING DI FABRIZIO BUGIANI,27
BEDDING DI FABRIZIO BUGIANI E C,27
BEECK,20
BEGA,20
BEJORAMA SL,45
BEL LIGHTING SPRL,3
BELCOR INTERIORS srl,27
BELLA FIGURA,16
BELLACOR,52
BELLART SNC,27
BELLAVISTA,27
BELLINAILLUMINA,27
BELLO SEDIE,27
BELLONI SRL,27
BELLOSTA CARLO SRL,27
BELLOTTI EZIO ARREDAMENTI SRL,27
BELLUSCI MIRELLA SPA,27
BELTA,45
BELTRAME LUCIANO SRL,27
BEMA SRL,27
BENEDETTI MOBILI,27
BENETTO TRIONFANTE SRL,27
BENITO URBAN,45
BERGOMI SRL,27
BERICA TRAINS srl,27
BERIZZI SRL,27
BERLINER MESSINGLAMPEN,20
BERLONI,27
BERNARD REYN BV,36
BERNARDI BICICLETTE,27
BERNARDINELLO SRL,27
BERNAZZOLI,27
BERNHARDT DESIGN,52
BERNHARDT FURNITURE COMPANY,52
BERT FRANK,16
BERTANI SPA,27
BERTAZZON 3B SRL,27
BERTI PAVIMENTI LEGNO SNC,27
BERTOLINI ARTE SRL,27
BERTOLOTTO PORTE SPA,27
BESANA SRL,27
BESSELINK & JONES LTD,16
BETA MOBILI SPA,27
BEVCAFFE SRL,27
